84, 152
86, 149
83, 149
86, 142
89, 145
84, 152
85, 152
84, 152
84, 152
85, 152
84, 152
82, 154
83, 151
88, 148
83, 150
84, 153
84, 158
84, 151
84, 150
85, 152
84, 150
84, 152
92, 148
87, 151
83, 150
87, 150
84, 153
84, 152
85, 148
85, 150
84, 162
75, 158
92, 152
84, 153
89, 155
87, 147
85, 152
86, 154
87, 147
84, 151
84, 152
84, 151
87, 159
84, 152
87, 151
85, 151
85, 151
84, 152
83, 151
88, 148
83, 154
86, 151
86, 147
90, 154
89, 151
79, 150
87, 145
85, 152
84, 151
82, 150
87, 159
85, 151
84, 152
83, 152
61, 119
68, 107
63, 113
65, 113
68, 115
63, 112
64, 114
61, 110
57, 111
66, 112
73, 108
62, 112
66, 111
69, 113
57, 114
68, 112
66, 113
66, 108
65, 112
63, 112
65, 118
60, 106
61, 112
65, 113
65, 112
61, 108
62, 113
65, 118
67, 115
64, 115
65, 114
68, 112
63, 115
68, 128
65, 112
65, 110
64, 112
67, 113
64, 115
65, 113
67, 112
65, 112
63, 116
62, 112
55, 112
66, 113
65, 115
60, 116
58, 108
73, 113
69, 117
56, 117
63, 111
66, 110
63, 112
74, 112
66, 113
66, 114
69, 105
67, 113
64, 113
64, 113
65, 113
65, 112
150, 105
153, 104
152, 104
158, 103
150, 104
153, 106
153, 107
154, 106
154, 104
152, 106
150, 105
159, 106
151, 105
148, 100
151, 101
149, 106
154, 106
154, 107
156, 101
152, 104
152, 105
142, 110
157, 104
152, 104
155, 107
152, 106
153, 106
153, 105
153, 105
153, 105
155, 105
154, 104
152, 103
158, 111
149, 109
150, 107
150, 111
157, 104
152, 110
154, 105
153, 105
152, 102
154, 105
153, 106
156, 105
151, 105
153, 105
150, 109
154, 106
154, 103
152, 112
154, 108
153, 109
151, 104
152, 104
162, 104
149, 107
155, 105
152, 109
155, 108
153, 107
153, 105
155, 106
153, 107
88, 51
88, 50
88, 49
87, 50
82, 48
87, 50
92, 52
88, 50
85, 49
88, 47
83, 55
92, 55
87, 51
88, 50
83, 49
91, 49
86, 46
88, 50
88, 49
88, 50
89, 53
87, 48
88, 50
89, 51
83, 49
78, 46
87, 50
86, 50
85, 53
88, 50
88, 51
88, 51
87, 50
86, 50
89, 52
95, 53
88, 51
86, 55
87, 51
92, 51
88, 50
87, 49
91, 56
89, 48
88, 50
90, 49
87, 51
87, 48
89, 53
90, 48
87, 52
87, 49
88, 50
91, 52
88, 50
88, 51
89, 51
86, 49
88, 50
97, 48
83, 53
86, 50
93, 48
89, 47
138, 200
140, 203
143, 206
141, 205
143, 214
144, 204
140, 207
141, 206
142, 207
141, 207
137, 207
143, 206
142, 206
143, 205
138, 208
142, 205
142, 205
137, 206
143, 207
147, 203
142, 206
142, 206
141, 204
143, 205
136, 201
142, 211
151, 212
141, 204
143, 205
142, 206
142, 206
141, 206
141, 206
140, 209
142, 207
142, 206
151, 203
133, 206
138, 205
141, 206
141, 206
142, 207
138, 214
144, 205
142, 206
141, 207
141, 206
143, 206
142, 206
142, 206
135, 208
139, 204
142, 205
139, 205
137, 205
142, 206
129, 203
141, 207
145, 209
142, 205
145, 206
